Item Group Code,Item Group,Item Code,Item,Factor,category
2919,Fruits - Excluding Wine,2614,"Citrus, Other",1,vegetal_products
2901,Grand Total,2614,"Citrus, Other",1,vegetal_products
2903,Vegetal Products,2614,"Citrus, Other",1,vegetal_products
2919,Fruits - Excluding Wine,2615,Bananas,1,vegetal_products
2901,Grand Total,2615,Bananas,1,vegetal_products
2903,Vegetal Products,2615,Bananas,1,vegetal_products
2919,Fruits - Excluding Wine,2616,Plantains,1,vegetal_products
2901,Grand Total,2616,Plantains,1,vegetal_products
2903,Vegetal Products,2616,Plantains,1,vegetal_products
2919,Fruits - Excluding Wine,2617,Apples and products,1,vegetal_products
2901,Grand Total,2617,Apples and products,1,vegetal_products
2903,Vegetal Products,2617,Apples and products,1,vegetal_products
2919,Fruits - Excluding Wine,2618,Pineapples and products,1,vegetal_products
2901,Grand Total,2618,Pineapples and products,1,vegetal_products
2903,Vegetal Products,2618,Pineapples and products,1,vegetal_products
2919,Fruits - Excluding Wine,2619,Dates,1,vegetal_products
2901,Grand Total,2619,Dates,1,vegetal_products
2903,Vegetal Products,2619,Dates,1,vegetal_products
2919,Fruits - Excluding Wine,2620,Grapes and products (excl wine),1,vegetal_products
2901,Grand Total,2620,Grapes and products (excl wine),1,vegetal_products
2903,Vegetal Products,2620,Grapes and products (excl wine),1,vegetal_products
2919,Fruits - Excluding Wine,2625,"Fruits, other",1,vegetal_products
2901,Grand Total,2625,"Fruits, other",1,vegetal_products
2903,Vegetal Products,2625,"Fruits, other",1,vegetal_products
2901,Grand Total,2630,Coffee and products,1,vegetal_products
2922,Stimulants,2630,Coffee and products,1,vegetal_products
2903,Vegetal Products,2630,Coffee and products,1,vegetal_products
2901,Grand Total,2633,Cocoa Beans and products,1,vegetal_products
2922,Stimulants,2633,Cocoa Beans and products,1,vegetal_products
2903,Vegetal Products,2633,Cocoa Beans and products,1,vegetal_products
2901,Grand Total,2635,Tea (including mate),1,vegetal_products
2922,Stimulants,2635,Tea (including mate),1,vegetal_products
2903,Vegetal Products,2635,Tea (including mate),1,vegetal_products
2901,Grand Total,2640,Pepper,1,vegetal_products
2923,Spices,2640,Pepper,1,vegetal_products
2903,Vegetal Products,2640,Pepper,1,vegetal_products
2901,Grand Total,2641,Pimento,1,vegetal_products
2923,Spices,2641,Pimento,1,vegetal_products
2903,Vegetal Products,2641,Pimento,1,vegetal_products
2901,Grand Total,2642,Cloves,1,vegetal_products
2923,Spices,2642,Cloves,1,vegetal_products
2903,Vegetal Products,2642,Cloves,1,vegetal_products
2901,Grand Total,2645,"Spices, Other",1,vegetal_products
2923,Spices,2645,"Spices, Other",1,vegetal_products
2903,Vegetal Products,2645,"Spices, Other",1,vegetal_products
2924,Alcoholic Beverages,2655,Wine,1,beverages
2901,Grand Total,2655,Wine,1,beverages
2903,Vegetal Products,2655,Wine,1,beverages
2924,Alcoholic Beverages,2656,Beer,1,beverages
2901,Grand Total,2656,Beer,1,beverages
2903,Vegetal Products,2656,Beer,1,beverages
2924,Alcoholic Beverages,2657,"Beverages, Fermented",1,beverages
2901,Grand Total,2657,"Beverages, Fermented",1,beverages
2903,Vegetal Products,2657,"Beverages, Fermented",1,beverages
2924,Alcoholic Beverages,2658,"Beverages, Alcoholic",1,beverages
2901,Grand Total,2658,"Beverages, Alcoholic",1,beverages
2903,Vegetal Products,2658,"Beverages, Alcoholic",1,beverages
2924,Alcoholic Beverages,2659,"Alcohol, Non-Food",1,beverages
2901,Grand Total,2659,"Alcohol, Non-Food",1,beverages
2903,Vegetal Products,2659,"Alcohol, Non-Food",1,beverages
2941,Animal Products,2731,Bovine Meat,1,meat
2901,Grand Total,2731,Bovine Meat,1,meat
2943,Meat,2731,Bovine Meat,1,meat
2941,Animal Products,2732,Mutton & Goat Meat,1,meat
2901,Grand Total,2732,Mutton & Goat Meat,1,meat
2943,Meat,2732,Mutton & Goat Meat,1,meat
2941,Animal Products,2733,Pigmeat,1,meat
2901,Grand Total,2733,Pigmeat,1,meat
2943,Meat,2733,Pigmeat,1,meat
2941,Animal Products,2734,Poultry Meat,1,meat
2901,Grand Total,2734,Poultry Meat,1,meat
2943,Meat,2734,Poultry Meat,1,meat
2941,Animal Products,2735,"Meat, Other",1,meat
2901,Grand Total,2735,"Meat, Other",1,meat
2943,Meat,2735,"Meat, Other",1,meat
2941,Animal Products,2736,"Offals, Edible",1,meat
2901,Grand Total,2736,"Offals, Edible",1,meat
2945,Offals,2736,"Offals, Edible",1,meat
2946,Animal fats,2740,"Butter, Ghee",1,meat
2941,Animal Products,2740,"Butter, Ghee",1,meat
2901,Grand Total,2740,"Butter, Ghee",1,meat
2946,Animal fats,2743,Cream,1,meat
2941,Animal Products,2743,Cream,1,meat
2901,Grand Total,2743,Cream,1,meat
2946,Animal fats,2737,"Fats, Animals, Raw",1,meat
2941,Animal Products,2737,"Fats, Animals, Raw",1,meat
2901,Grand Total,2737,"Fats, Animals, Raw",1,meat
2946,Animal fats,2781,"Fish, Body Oil",1,meat
2941,Animal Products,2781,"Fish, Body Oil",1,meat
2901,Grand Total,2781,"Fish, Body Oil",1,meat
2946,Animal fats,2782,"Fish, Liver Oil",1,meat
2941,Animal Products,2782,"Fish, Liver Oil",1,meat
2901,Grand Total,2782,"Fish, Liver Oil",1,meat
2941,Animal Products,2744,Eggs,1,meat
2949,Eggs,2744,Eggs,1,meat
2901,Grand Total,2744,Eggs,1,meat
2941,Animal Products,2848,Milk - Excluding Butter,1,meat
2901,Grand Total,2848,Milk - Excluding Butter,1,meat
2948,Milk - Excluding Butter,2848,Milk - Excluding Butter,1,meat
2941,Animal Products,2761,Freshwater Fish,1,meat
2960,"Fish, Seafood",2761,Freshwater Fish,1,meat
2901,Grand Total,2761,Freshwater Fish,1,meat
2941,Animal Products,2762,Demersal Fish,1,meat
2960,"Fish, Seafood",2762,Demersal Fish,1,meat
2901,Grand Total,2762,Demersal Fish,1,meat
2941,Animal Products,2763,Pelagic Fish,1,meat
2960,"Fish, Seafood",2763,Pelagic Fish,1,meat
2901,Grand Total,2763,Pelagic Fish,1,meat
2941,Animal Products,2764,"Marine Fish, Other",1,meat
2960,"Fish, Seafood",2764,"Marine Fish, Other",1,meat
2901,Grand Total,2764,"Marine Fish, Other",1,meat
2941,Animal Products,2765,Crustaceans,1,meat
2960,"Fish, Seafood",2765,Crustaceans,1,meat
2901,Grand Total,2765,Crustaceans,1,meat
2941,Animal Products,2766,Cephalopods,1,meat
2960,"Fish, Seafood",2766,Cephalopods,1,meat
2901,Grand Total,2766,Cephalopods,1,meat
2941,Animal Products,2767,"Molluscs, Other",1,meat
2960,"Fish, Seafood",2767,"Molluscs, Other",1,meat
2901,Grand Total,2767,"Molluscs, Other",1,meat
2941,Animal Products,2769,"Aquatic Animals, Others",1,meat
2960,"Fish, Seafood",2769,"Aquatic Animals, Others",1,meat
2901,Grand Total,2769,"Aquatic Animals, Others",1,meat
2941,Animal Products,2768,"Meat, Aquatic Mammals",1,meat
2961,"Aquatic Products, Other",2768,"Meat, Aquatic Mammals",1,meat
2901,Grand Total,2768,"Meat, Aquatic Mammals",1,meat
2941,Animal Products,2775,Aquatic Plants,1,meat
2961,"Aquatic Products, Other",2775,Aquatic Plants,1,meat
2901,Grand Total,2775,Aquatic Plants,1,meat
2901,Grand Total,2680,Infant food,1,other
2928,Miscellaneous,2680,Infant food,1,other
2903,Vegetal Products,2680,Infant food,1,vegetal_products
2901,Grand Total,2899,Miscellaneous,1,other
2928,Miscellaneous,2899,Miscellaneous,1,other
2903,Vegetal Products,2899,Miscellaneous,1,vegetal_products
